USER_DATA7,USER_DATA8,USER_DATA9,USER_DATA10,USER_DATA11,USER_DATA12,USER_DATA13,USER_DATA14,USER_DATA15,Angle_ROL,Angle_PIT,Angle_YAW
1,1,0,-136,4578,6833,-71,-35,106,33.95999908,-0.99000001,-175.1600037
0,0,0,-151,4594,6852,-72,-27,105,33.97000122,-0.980000019,-175.1499939
0,1,0,-175,4610,6857,-72,-27,105,33.97000122,-0.970000029,-175.1499939
0,-2,0,-166,4600,6849,-80,-39,100,33.97999954,-0.939999998,-175.1199951
0,0,-2,-138,4608,6834,-80,-39,100,33.97999954,-0.939999998,-175.0800018
0,0,0,-116,4632,6813,-66,-35,95,33.97999954,-0.930000007,-175.0700073
0,0,0,-112,4636,6817,-85,-32,101,33.99000168,-0.930000007,-175.0800018
0,0,1,-129,4627,6821,-82,-31,102,33.99000168,-0.939999998,-175.1100006
0,0,0,-142,4611,6806,-77,-29,104,33.97000122,-0.949999988,-175.1399994
0,-1,0,-125,4601,6801,-82,-37,92,33.97000122,-0.930000007,-175.1300049
0,0,0,-139,4597,6828,-76,-32,99,33.97000122,-0.930000007,-175.1199951
0,1,0,-167,4577,6849,-74,-27,105,33.95999908,-0.949999988,-175.1300049
0,0,0,-157,4577,6849,-82,-35,107,33.95999908,-0.959999979,-175.1199951
0,0,0,-145,4591,6845,-84,-35,106,33.95999908,-0.959999979,-175.1100006
0,1,0,-151,4618,6845,-76,-29,108,33.97000122,-0.99000001,-175.1100006
0,0,0,-137,4630,6841,-82,-36,106,33.95999908,-1,-175.1100006
0,-1,0,-121,4617,6831,-82,-28,109,33.95000076,-0.980000019,-175.1199951
0,1,0,-129,4592,6828,-79,-30,109,33.93999863,-0.99000001,-175.1300049
0,0,0,-165,4589,6837,-78,-37,106,33.93000031,-0.980000019,-175.1499939
0,0,0,-184,4585,6854,-82,-30,107,33.93000031,-0.959999979,-175.1399994
0,0,0,-186,4567,6869,-73,-28,102,33.93000031,-0.949999988,-175.1399994
0,0,-1,-168,4568,6874,-73,-26,106,33.93000031,-0.959999979,-175.1399994
0,0,0,-142,4582,6869,-81,-36,105,33.93000031,-0.939999998,-175.1399994
0,-1,0,-127,4593,6842,-76,-32,101,33.93000031,-0.920000017,-175.1300049
